,product_title,lowest_price,montly_sales,original_price,discount_rate,star,ratings,total_sales,favorites,brand,weight,warranty,capacity,stock,power
107,DESSINI ITALY 10 IN 1 Electric Digital Pressure Cooker Non-stick Stainless Steel Inner Pot Rice Cooker Steamer (8L),189.9,37,475.0,60,4.8,338.0,688.0,533,Others,0.0,0,0.0,0,0
108,"[Free Bubble Packing] Pensonic 1.8L Batik Series Rice Cooker | PSR-1801, PSR1801, PSR-1808B, PSR1808B (Periuk Nasi,电饭锅)",84.88,36,0.0,29,4.9,1400.0,2200.0,1200,Pensonic,0.0,12,0.0,1542,0
109,Toshiba Digital Rice Cooker【HPH】,165.0,25,0.0,0,4.9,207.0,336.0,146,Toshiba,5000.0,1,1.8,477,904
110,Midea Conventional Rice Cooker MG-GP06B (0.6L)/ MG-GP10B (1.0L),44.55,36,0.0,42,4.9,1100.0,2200.0,531,Midea,1440.0,1,0.6,1158,0
111,[READY STOCK] TOPFINE 24cm/26cm Quality Electric Multicooker Non Stick Rice Cooker Food Mini Hot Pot,39.48,35,0.0,33,4.9,4600.0,8100.0,6500,Others,0.0,0,0.0,524,0
112,Midea Conventional Rice Cooker 0.6L [MG-GP06B] |Ready Stocks | Fast Shipping,45.9,29,89.0,48,4.9,3300.0,5900.0,2200,Midea,1500.0,12,0.6,1314,417
113,BEC 1.0L Conventional Rice Cooker,42.5,35,45.9,7,4.9,2900.0,4800.0,1800,BEC,0.0,0,0.0,39,0
114,Milux Commercial Electric 4.5L Rice Cooker MRC545 / MRC-545 饭煲 Periuk Nasi,165.0,35,229.0,28,4.9,285.0,488.0,244,Milux,4600.0,13,4.5,38,1500
115,Kettle Plug Cord Set 1.0MM X 1.5 Meters 3 Pin 250V 13A Power Supply Cable for Desktop Computer Rice Cooker,9.8,34,13.9,29,5.0,303.0,1400.0,92,Others,0.0,0,0.0,37,0
116,Milux Classy Mini Rice Cooker (0.3 L) MRC-703 (1.0L) MRC-510,56.9,27,0.0,40,4.9,1200.0,1900.0,1100,Milux,2500.0,12,0.3,256,200
